iter	Passed	Remaining
0	144	144164
1	149	74573
2	154	51283
3	158	39404
4	162	32310
5	166	27513
6	170	24188
7	175	21773
8	182	20062
9	186	18481
10	190	17157
11	195	16059
12	198	15061
13	201	14205
14	205	13470
15	209	12877
16	213	12322
17	216	11837
18	221	11431
19	227	11151
20	232	10844
21	237	10544
22	241	10275
23	246	10005
24	251	9791
25	257	9641
26	264	9530
27	269	9338
28	273	9141
29	276	8950
30	280	8774
31	284	8599
32	288	8463
33	292	8322
34	297	8196
35	302	8087
36	306	7975
37	310	7854
38	314	7749
39	318	7642
40	322	7533
41	325	7432
42	329	7327
43	333	7244
44	337	7171
45	342	7103
46	346	7031
47	350	6949
48	354	6877
49	358	6809
50	362	6739
51	366	6676
52	371	6630
53	374	6567
54	378	6501
55	386	6511
56	389	6441
57	392	6376
58	395	6313
59	399	6260
60	403	6208
61	407	6160
62	411	6124
63	417	6111
64	424	6102
65	429	6071
66	433	6041
67	438	6003
68	442	5964
69	446	5932
70	452	5918
71	457	5894
72	460	5853
73	465	5822
74	468	5781
75	473	5751
76	476	5716
77	481	5696
78	485	5664
79	489	5631
80	495	5625
81	500	5608
82	504	5572
83	507	5535
84	511	5501
85	514	5472
86	519	5454
87	524	5436
88	528	5408
89	532	5381
90	536	5355
91	539	5326
92	542	5294
93	552	5322
94	559	5332
95	567	5344
96	574	5349
97	580	5338
98	599	5458
99	604	5438
100	608	5419
101	613	5400
102	618	5390
103	625	5387
104	631	5386
105	637	5375
106	641	5357
107	645	5332
108	650	5318
109	654	5298
110	659	5280
111	662	5252
112	665	5225
113	668	5198
114	673	5179
115	677	5162
116	680	5138
117	685	5122
118	689	5103
119	693	5086
120	697	5063
121	700	5042
122	704	5020
123	707	4997
124	711	4977
125	714	4957
126	719	4946
127	724	4937
128	729	4923
129	733	4908
130	737	4889
131	740	4869
132	744	4856
133	748	4838
134	752	4821
135	756	4806
136	760	4787
137	764	4775
138	768	4763
139	773	4749
140	777	4734
141	781	4723
142	785	4709
143	790	4701
144	795	4689
145	800	4682
146	805	4676
147	810	4664
148	813	4647
149	817	4630
150	821	4616
151	824	4601
152	829	4594
153	834	4582
154	838	4569
155	841	4554
156	845	4537
157	848	4523
158	852	4508
159	855	4492
160	859	4476
161	862	4460
162	865	4444
163	868	4428
164	872	4417
165	877	4409
166	882	4401
167	887	4396
168	891	4385
169	895	4373
170	899	4359
171	902	4344
172	906	4333
173	910	4321
174	914	4310
175	919	4306
176	924	4299
177	929	4290
178	932	4278
179	936	4265
180	940	4253
181	943	4240
182	947	4230
183	951	4218
184	955	4208
185	959	4199
186	964	4193
187	969	4185
188	973	4178
189	978	4170
190	982	4160
191	985	4149
192	990	4139
193	994	4132
194	999	4125
195	1002	4114
196	1006	4101
197	1009	4090
198	1013	4079
199	1017	4071
200	1021	4061
201	1025	4052
202	1029	4043
203	1034	4037
204	1038	4027
205	1042	4016
206	1045	4005
207	1048	3994
208	1052	3982
209	1055	3970
210	1058	3959
211	1062	3950
212	1067	3944
213	1072	3940
214	1076	3930
215	1080	3921
216	1084	3911
217	1087	3900
218	1090	3890
219	1094	3880
220	1097	3869
221	1101	3859
222	1105	3850
223	1110	3847
224	1115	3842
225	1119	3834
226	1124	3827
227	1127	3818
228	1132	3811
229	1135	3802
230	1139	3794
231	1143	3786
232	1147	3776
233	1150	3766
234	1154	3758
235	1159	3753
236	1162	3744
237	1166	3735
238	1170	3726
239	1174	3719
240	1178	3711
241	1182	3703
242	1187	3699
243	1192	3694
244	1195	3684
245	1199	3675
246	1202	3665
247	1206	3658
248	1210	3649
249	1215	3645
250	1219	3640
251	1224	3634
252	1228	3628
253	1232	3619
254	1236	3612
255	1240	3604
256	1243	3595
257	1246	3585
258	1250	3576
259	1253	3567
260	1257	3561
261	1262	3555
262	1267	3552
263	1271	3544
264	1275	3536
265	1278	3529
266	1282	3519
267	1285	3511
268	1289	3502
269	1292	3494
270	1297	3489
271	1300	3480
272	1305	3476
273	1309	3470
274	1314	3464
275	1318	3457
276	1321	3450
277	1325	3443
278	1329	3434
279	1332	3426
280	1335	3418
281	1339	3411
282	1344	3405
283	1348	3398
284	1353	3394
285	1357	3389
286	1361	3382
287	1365	3376
288	1370	3370
289	1375	3367
290	1379	3360
291	1382	3352
292	1386	3345
293	1389	3337
294	1393	3329
295	1396	3320
296	1400	3315
297	1405	3311
298	1410	3306
299	1414	3299
300	1418	3294
301	1422	3288
302	1426	3282
303	1431	3277
304	1435	3270
305	1438	3263
306	1442	3255
307	1445	3248
308	1451	3245
309	1456	3242
310	1462	3240
311	1467	3236
312	1472	3231
313	1475	3224
314	1479	3216
315	1482	3209
316	1486	3202
317	1489	3194
318	1493	3187
319	1498	3184
320	1504	3182
321	1510	3179
322	1514	3174
323	1519	3169
324	1523	3165
325	1528	3160
326	1532	3153
327	1535	3146
328	1539	3139
329	1543	3134
330	1549	3132
331	1553	3126
332	1557	3120
333	1561	3113
334	1566	3108
335	1570	3104
336	1574	3097
337	1579	3093
338	1584	3088
339	1587	3081
340	1591	3074
341	1594	3067
342	1597	3060
343	1601	3054
344	1605	3048
345	1611	3045
346	1615	3040
347	1619	3034
348	1624	3030
349	1628	3023
350	1631	3017
351	1635	3010
352	1638	3003
353	1642	2996
354	1645	2990
355	1650	2984
356	1654	2979
357	1658	2973
358	1661	2967
359	1665	2960
360	1668	2953
361	1671	2946
362	1675	2940
363	1679	2934
364	1683	2928
365	1686	2921
366	1690	2915
367	1694	2910
368	1699	2906
369	1704	2902
370	1708	2896
371	1711	2890
372	1715	2883
373	1718	2875
374	1722	2870
375	1727	2866
376	1731	2861
377	1735	2855
378	1738	2849
379	1742	2842
380	1745	2836
381	1749	2830
382	1753	2824
383	1757	2819
384	1761	2813
385	1765	2808
386	1770	2804
387	1774	2798
388	1778	2792
389	1781	2786
390	1784	2779
391	1788	2773
392	1791	2767
393	1795	2761
394	1799	2756
395	1803	2750
396	1808	2746
397	1812	2741
398	1816	2736
399	1820	2731
400	1824	2725
401	1828	2719
402	1831	2713
403	1836	2708
404	1840	2703
405	1844	2698
406	1848	2693
407	1852	2687
408	1856	2682
409	1859	2676
410	1862	2669
411	1866	2664
412	1870	2658
413	1873	2652
414	1877	2646
415	1880	2640
416	1886	2637
417	1891	2634
418	1896	2630
419	1901	2626
420	1906	2621
421	1909	2615
422	1913	2610
423	1919	2607
424	1923	2603
425	1927	2597
426	1931	2591
427	1935	2586
428	1938	2580
429	1942	2574
430	1946	2569
431	1950	2565
432	1955	2560
433	1959	2554
434	1965	2552
435	1969	2548
436	1973	2543
437	1977	2537
438	1981	2531
439	1985	2526
440	1989	2521
441	1993	2517
442	1998	2512
443	2003	2508
444	2006	2502
445	2011	2498
446	2015	2493
447	2018	2487
448	2021	2481
449	2025	2475
450	2028	2469
451	2034	2466
452	2040	2464
453	2048	2463
454	2052	2458
455	2056	2452
456	2060	2447
457	2064	2442
458	2068	2437
459	2071	2431
460	2074	2425
461	2079	2421
462	2084	2417
463	2089	2413
464	2093	2409
465	2097	2404
466	2101	2398
467	2104	2392
468	2108	2387
469	2113	2383
470	2118	2378
471	2122	2374
472	2126	2369
473	2129	2363
474	2133	2358
475	2137	2352
476	2141	2347
477	2146	2343
478	2149	2338
479	2153	2333
480	2157	2328
481	2162	2323
482	2165	2317
483	2168	2312
484	2172	2306
485	2176	2301
486	2180	2296
487	2185	2292
488	2189	2287
489	2193	2282
490	2196	2277
491	2201	2272
492	2205	2268
493	2209	2262
494	2212	2257
495	2215	2251
496	2219	2246
497	2223	2241
498	2228	2237
499	2232	2232
500	2236	2227
501	2240	2222
502	2243	2217
503	2247	2211
504	2250	2205
505	2253	2200
506	2257	2194
507	2260	2189
508	2264	2184
509	2267	2178
510	2271	2174
511	2276	2169
512	2281	2165
513	2288	2163
514	2292	2158
515	2296	2153
516	2299	2148
517	2305	2145
518	2310	2141
519	2314	2136
520	2317	2130
521	2322	2126
522	2325	2121
523	2329	2116
524	2332	2110
525	2337	2106
526	2342	2102
527	2345	2096
528	2349	2092
529	2355	2089
530	2359	2084
531	2363	2079
532	2367	2074
533	2371	2069
534	2374	2064
535	2378	2059
536	2382	2054
537	2387	2050
538	2391	2045
539	2395	2040
540	2398	2035
541	2402	2030
542	2405	2024
543	2409	2019
544	2412	2014
545	2416	2009
546	2420	2004
547	2424	1999
548	2432	1998
549	2437	1994
550	2442	1990
551	2446	1985
552	2450	1980
553	2454	1976
554	2458	1971
555	2462	1966
556	2466	1961
557	2471	1957
558	2476	1953
559	2481	1950
560	2486	1945
561	2489	1940
562	2493	1935
563	2497	1930
564	2502	1927
565	2507	1922
566	2511	1917
567	2515	1913
568	2518	1907
569	2522	1903
570	2526	1898
571	2532	1894
572	2537	1890
573	2540	1885
574	2544	1880
575	2548	1876
576	2554	1872
577	2558	1867
578	2562	1863
579	2567	1859
580	2571	1854
581	2575	1849
582	2578	1844
583	2582	1839
584	2586	1834
585	2589	1829
586	2593	1824
587	2596	1819
588	2599	1814
589	2603	1808
590	2606	1803
591	2610	1799
592	2614	1794
593	2618	1789
594	2623	1785
595	2628	1781
596	2633	1778
597	2637	1773
598	2641	1768
599	2644	1763
600	2648	1758
601	2654	1755
602	2661	1752
603	2666	1748
604	2670	1743
605	2674	1739
606	2682	1736
607	2686	1732
608	2690	1727
609	2694	1722
610	2698	1718
611	2703	1713
612	2707	1709
613	2710	1704
614	2714	1699
615	2718	1694
616	2722	1689
617	2727	1685
618	2731	1681
619	2735	1676
620	2740	1672
621	2745	1668
622	2750	1664
623	2755	1660
624	2759	1655
625	2763	1651
626	2769	1647
627	2773	1642
628	2777	1638
629	2781	1633
630	2785	1628
631	2789	1624
632	2792	1619
633	2795	1613
634	2799	1608
635	2802	1604
636	2806	1599
637	2810	1594
638	2814	1589
639	2819	1585
640	2824	1581
641	2827	1576
642	2831	1571
643	2834	1567
644	2838	1562
645	2841	1557
646	2847	1553
647	2852	1549
648	2856	1544
649	2860	1540
650	2864	1535
651	2867	1530
652	2871	1526
653	2875	1521
654	2878	1516
655	2882	1511
656	2890	1508
657	2894	1504
658	2900	1500
659	2904	1496
660	2907	1491
661	2911	1486
662	2915	1482
663	2920	1477
664	2924	1473
665	2927	1468
666	2931	1463
667	2934	1458
668	2937	1453
669	2940	1448
670	2944	1443
671	2947	1438
672	2952	1434
673	2956	1429
674	2960	1425
675	2964	1420
676	2968	1416
677	2972	1411
678	2977	1407
679	2981	1402
680	2984	1398
681	2987	1393
682	2991	1388
683	2994	1383
684	2999	1379
685	3002	1374
686	3006	1369
687	3010	1365
688	3014	1360
689	3019	1356
690	3022	1351
691	3026	1346
692	3029	1342
693	3032	1337
694	3035	1332
695	3040	1327
696	3045	1324
697	3050	1319
698	3054	1315
699	3058	1310
700	3061	1306
701	3065	1301
702	3068	1296
703	3072	1291
704	3076	1287
705	3080	1282
706	3084	1278
707	3088	1273
708	3093	1269
709	3096	1264
710	3100	1260
711	3104	1255
712	3108	1251
713	3112	1246
714	3117	1242
715	3121	1238
716	3126	1234
717	3129	1229
718	3133	1224
719	3136	1219
720	3139	1214
721	3142	1210
722	3146	1205
723	3150	1201
724	3155	1196
725	3160	1192
726	3164	1188
727	3168	1183
728	3171	1179
729	3175	1174
730	3178	1169
731	3182	1165
732	3185	1160
733	3188	1155
734	3192	1150
735	3195	1146
736	3199	1141
737	3204	1137
738	3209	1133
739	3213	1129
740	3218	1124
741	3221	1120
742	3225	1115
743	3228	1110
744	3232	1106
745	3236	1102
746	3241	1097
747	3244	1093
748	3249	1088
749	3252	1084
750	3256	1079
751	3259	1075
752	3262	1070
753	3266	1065
754	3269	1060
755	3272	1056
756	3277	1052
757	3282	1047
758	3286	1043
759	3290	1039
760	3293	1034
761	3298	1030
762	3302	1025
763	3306	1021
764	3311	1017
765	3315	1012
766	3320	1008
767	3323	1004
768	3327	999
769	3330	994
770	3334	990
771	3337	985
772	3341	981
773	3345	976
774	3349	972
775	3354	968
776	3358	963
777	3361	959
778	3365	954
779	3368	950
780	3371	945
781	3375	940
782	3378	936
783	3382	931
784	3386	927
785	3390	923
786	3394	918
787	3398	914
788	3402	909
789	3407	905
790	3412	901
791	3415	897
792	3419	892
793	3422	887
794	3425	883
795	3428	878
796	3434	874
797	3439	870
798	3444	866
799	3448	862
800	3452	857
801	3456	853
802	3461	849
803	3465	844
804	3468	840
805	3472	835
806	3476	831
807	3482	827
808	3487	823
809	3491	819
810	3495	814
811	3499	810
812	3504	806
813	3508	801
814	3514	797
815	3519	793
816	3524	789
817	3528	785
818	3532	780
819	3536	776
820	3542	772
821	3547	768
822	3551	763
823	3557	759
824	3562	755
825	3565	751
826	3569	746
827	3572	742
828	3576	737
829	3581	733
830	3587	729
831	3593	725
832	3598	721
833	3601	716
834	3606	712
835	3610	708
836	3614	703
837	3618	699
838	3622	695
839	3627	690
840	3632	686
841	3638	682
842	3642	678
843	3646	673
844	3649	669
845	3653	665
846	3658	660
847	3664	656
848	3669	652
849	3673	648
850	3676	643
851	3680	639
852	3684	634
853	3688	630
854	3692	626
855	3697	622
856	3702	617
857	3707	613
858	3711	609
859	3715	604
860	3718	600
861	3723	596
862	3727	591
863	3731	587
864	3735	583
865	3739	578
866	3743	574
867	3747	569
868	3752	565
869	3757	561
870	3761	557
871	3765	552
872	3769	548
873	3774	544
874	3778	539
875	3782	535
876	3786	531
877	3791	526
878	3794	522
879	3798	517
880	3801	513
881	3805	509
882	3808	504
883	3812	500
884	3816	495
885	3821	491
886	3826	487
887	3832	483
888	3835	478
889	3839	474
890	3843	470
891	3846	465
892	3851	461
893	3856	457
894	3860	452
895	3863	448
896	3867	444
897	3870	439
898	3874	435
899	3878	430
900	3881	426
901	3886	422
902	3890	417
903	3894	413
904	3899	409
905	3903	404
906	3907	400
907	3910	396
908	3913	391
909	3917	387
910	3920	383
911	3925	378
912	3929	374
913	3933	370
914	3937	365
915	3940	361
916	3943	356
917	3946	352
918	3950	348
919	3953	343
920	3956	339
921	3959	335
922	3963	330
923	3967	326
924	3973	322
925	3981	318
926	3987	313
927	3991	309
928	3995	305
929	3999	301
930	4004	296
931	4007	292
932	4011	288
933	4016	283
934	4021	279
935	4027	275
936	4031	271
937	4035	266
938	4039	262
939	4043	258
940	4049	253
941	4055	249
942	4058	245
943	4063	241
944	4067	236
945	4071	232
946	4075	228
947	4081	223
948	4085	219
949	4088	215
950	4093	210
951	4098	206
952	4101	202
953	4105	197
954	4109	193
955	4114	189
956	4118	185
957	4122	180
958	4125	176
959	4129	172
960	4133	167
961	4137	163
962	4141	159
963	4145	154
964	4148	150
965	4151	146
966	4155	141
967	4159	137
968	4163	133
969	4168	128
970	4173	124
971	4177	120
972	4181	116
973	4185	111
974	4189	107
975	4192	103
976	4196	98
977	4200	94
978	4203	90
979	4208	85
980	4215	81
981	4220	77
982	4224	73
983	4228	68
984	4232	64
985	4236	60
986	4241	55
987	4246	51
988	4249	47
989	4253	42
990	4257	38
991	4260	34
992	4264	30
993	4268	25
994	4273	21
995	4277	17
996	4280	12
997	4285	8
998	4291	4
999	4294	0
